page_name,pair_index,randomised,left_is,right_is
clothing_pair_260,260,no,,
clothing_pair_261,261,yes,,
clothing_pair_262,262,yes,,
clothing_pair_263,263,yes,,
clothing_pair_264,264,yes,,
clothing_pair_265,265,yes,,
clothing_pair_266,266,no,,
clothing_pair_267,267,yes,,
clothing_pair_268,268,no,,
clothing_pair_269,269,yes,,
clothing_pair_270,270,yes,,
clothing_pair_271,271,no,,
clothing_pair_272,272,no,,
clothing_pair_273,273,yes,,
clothing_pair_274,274,no,,
clothing_pair_275,275,yes,,
clothing_pair_276,276,yes,,
clothing_pair_277,277,yes,,
clothing_pair_278,278,yes,,
clothing_pair_279,279,no,,
