page_name,pair_index,randomised,left_is,right_is
electronics_pair_1040,1040,yes,,
electronics_pair_1041,1041,yes,,
electronics_pair_1042,1042,no,,
electronics_pair_1043,1043,yes,,
electronics_pair_1044,1044,yes,,
electronics_pair_1045,1045,yes,,
electronics_pair_1046,1046,yes,,
electronics_pair_1047,1047,yes,,
electronics_pair_1048,1048,no,,
electronics_pair_1049,1049,no,,
electronics_pair_1050,1050,no,,
electronics_pair_1051,1051,yes,,
electronics_pair_1052,1052,yes,,
electronics_pair_1053,1053,no,,
electronics_pair_1054,1054,yes,,
electronics_pair_1055,1055,no,,
electronics_pair_1056,1056,yes,,
electronics_pair_1057,1057,yes,,
electronics_pair_1058,1058,yes,,
electronics_pair_1059,1059,yes,,
