page_name,pair_index,randomised,left_is,right_is
food_pair_300,300,yes,,
food_pair_301,301,yes,,
food_pair_302,302,yes,,
food_pair_303,303,yes,,
food_pair_304,304,yes,,
food_pair_305,305,yes,,
food_pair_306,306,no,,
food_pair_307,307,yes,,
food_pair_308,308,no,,
food_pair_309,309,no,,
food_pair_310,310,yes,,
food_pair_311,311,yes,,
food_pair_312,312,no,,
food_pair_313,313,yes,,
food_pair_314,314,yes,,
food_pair_315,315,no,,
food_pair_316,316,yes,,
food_pair_317,317,no,,
food_pair_318,318,no,,
food_pair_319,319,yes,,
