Title,Model,Dataset,Category,Run_Type,Sessions,Total_Bundles,Avg_Bundles_Per_Sess,Avg_Bundle_Size,Precision,Recall,Jaccard,Average_Score
gpt-4o-mini_zero-shot_brec_elec,gpt-4o-mini,zero-shot,brec,elec,173,383,2.214,2.522,0.428,0.400,0.558,3.208
gpt-4o-mini_zero-shot_brec_clo,gpt-4o-mini,zero-shot,brec,clo,178,360,2.022,2.636,0.534,0.525,0.668,3.692
gpt-4o-mini_zero-shot_brec_food,gpt-4o-mini,zero-shot,brec,food,180,410,2.278,2.759,0.419,0.469,0.611,3.564
gpt-4o-mini_zero-shot_bear_elec,gpt-4o-mini,zero-shot,bear,elec,175,434,2.480,2.578,0.313,0.324,0.513,3.322
gpt-4o-mini_zero-shot_bear_clo,gpt-4o-mini,zero-shot,bear,clo,179,391,2.184,2.665,0.455,0.494,0.633,3.851
gpt-4o-mini_zero-shot_bear_food,gpt-4o-mini,zero-shot,bear,food,180,460,2.556,2.983,0.335,0.412,0.551,3.708
gpt-4o-mini_few-shot_brec_elec,gpt-4o-mini,few-shot,brec,elec,173,369,2.133,2.491,0.443,0.409,0.561,3.255
gpt-4o-mini_few-shot_brec_clo,gpt-4o-mini,few-shot,brec,clo,177,335,1.893,2.696,0.574,0.549,0.686,3.755
gpt-4o-mini_few-shot_brec_food,gpt-4o-mini,few-shot,brec,food,180,366,2.033,2.847,0.441,0.442,0.628,3.594
gpt-4o-mini_few-shot_bear_elec,gpt-4o-mini,few-shot,bear,elec,177,390,2.203,2.777,0.320,0.328,0.544,3.521
gpt-4o-mini_few-shot_bear_clo,gpt-4o-mini,few-shot,bear,clo,179,376,2.101,2.660,0.493,0.524,0.637,3.844
gpt-4o-mini_few-shot_bear_food,gpt-4o-mini,few-shot,bear,food,180,416,2.311,3.034,0.342,0.375,0.566,3.757
gpt-4.1-mini_zero-shot_brec_elec,gpt-4.1-mini,zero-shot,brec,elec,178,322,1.809,2.578,0.422,0.369,0.577,3.609
gpt-4.1-mini_zero-shot_brec_clo,gpt-4.1-mini,zero-shot,brec,clo,179,320,1.788,2.606,0.595,0.552,0.689,4.037
gpt-4.1-mini_zero-shot_brec_food,gpt-4.1-mini,zero-shot,brec,food,180,349,1.939,2.679,0.463,0.450,0.619,3.805
