bundle ID,item ID,titles,categories
0,209740,PattyBoutik Cowl Neck Backless Chain Draping Halter Top,"[[Clothing, Shoes & Jewelry,Women,Clothing,Tops & Tees]]"
0,226500,PattyBoutik Unique V Neck Shawl Collar Short Sleeve Knit Jumper Blouse Tunic Top,"[[Clothing, Shoes & Jewelry,Women,Clothing,Tops & Tees,Blouses & Button-Down Shirts]]"
1,43086,Pink Queen Rhinestone Leopard Print Bikini Halter Top Hipster Large,"[[Clothing, Shoes & Jewelry,Women,Clothing,Swimsuits & Cover Ups,Bikinis]]"
1,185268,WIIPU sexy 3 row waist belly chain/Waist Chain/bikini body chain(wiipu-D245),"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Necklaces & Pendants]]"
1,73281,Women's Floral Halter Swimwear Bikini Set Padded Bra Bikini Swimsuit S~L,"[[Clothing, Shoes & Jewelry,Women,Clothing,Swimsuits & Cover Ups,Bikinis]]"
2,34877,Ollio Women's Platform Shoe Faux Suede Stiletto Leopard High Heels Multi Color Pump,"[[Clothing, Shoes & Jewelry,Women,Shoes,Pumps]]"
2,185268,WIIPU sexy 3 row waist belly chain/Waist Chain/bikini body chain(wiipu-D245),"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Necklaces & Pendants]]"
2,233348,Women's Feminine Unique Design Lace Chemise &amp; Thong Set - Navy Blue,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Exotic Apparel,Women,Bustiers & Corsets],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Exotic Apparel,Women,Lingerie Sets]]"
3,196011,Vip Boutique Cross Printed Leggings,"[[Clothing, Shoes & Jewelry,Women,Clothing,Leggings]]"
3,82351,Amour Women's Lace Sheer Mesh Inset Stripes Ankle Length Footless Legging,"[[Clothing, Shoes & Jewelry,Women,Plus-Size],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Women,Leggings]]"
3,56426,Amour Women's Cut Open Slit Hole Opening Faux Leather Ankle Legging,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Women,Leggings]]"
4,237390,Hematite Skull Ring Bracelet,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Bracelets]]"
4,237389,Vintage Antique Inspired Costume Jewelry Emerald Frog Toad Finger Ring size 7,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Rings]]"
4,216974,Light Shamrock Green Frog Toad Animal Pendant Necklace Charm Fashion Jewelry,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Necklaces & Pendants]]"
5,38769,Teal Ceramic Style Silicone Gel Band Crystal Bezel Women's Watch,"[[Clothing, Shoes & Jewelry,Women,Watches,Wrist Watches]]"
5,237388,"Geneva Platinum CZ Accented Silicone Link Watch, Large Face","[[Clothing, Shoes & Jewelry,Women,Watches,Wrist Watches]]"
5,139373,Caiqi 519 Women's Quartz Wrist Watch Leopard Patterned Red,"[[Clothing, Shoes & Jewelry,Girls]]"
5,237387,Pink Blue 2 Pack Geneva Crystal Rhinestone Large Face Watch with Silicone Jelly Link Band,"[[Clothing, Shoes & Jewelry,Fashion Watches],[Clothing, Shoes & Jewelry,Women,Watches,Wrist Watches]]"
5,184360,"Geneva Platinum CZ Accented Silicone Link Watch, Large Face","[[Clothing, Shoes & Jewelry,Women,Watches,Wrist Watches]]"
6,236628,Skechers Reggae Drum Beat Womens Sandals Natural 9,"[[Clothing, Shoes & Jewelry,S,Skechers],[Clothing, Shoes & Jewelry,Comfort Shoes],[Clothing, Shoes & Jewelry,Women,Shoes,Sandals]]"
6,103500,totes ISOTONER Womens Microterry Center Crossover Slide Slipper,"[[Clothing, Shoes & Jewelry,Women,Shoes,Slippers]]"
6,104147,Stride Rite Cooper H&amp;L Uniform Sneaker (Toddler/Little Kid/Big Kid),"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,S,Stride Rite],[Clothing, Shoes & Jewelry,Girls,Shoes,Sneakers],[Clothing, Shoes & Jewelry,Boys,Shoes,Sneakers]]"
7,46914,Cinderella Wand,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Costumes & Accessories,More Accessories]]"
7,95595,Disney's Cinderella Cinderella Deluxe - Size: Child M(7 - 8),"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Costumes & Accessories,Costumes,Kids & Baby,Girls]]"
8,236629,Sterling Silver Twin Heart Baby Ring with Amethyst CZ Stone - February Birthstone,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Rings]]"
