bundle ID,item ID,titles,categories
0,5562,Nagatanien OTONA NO FURIKAKE Mini #1 | Rice Seasoning | 37.6g ( 20 Pcs ) [ Japanese Import ],"[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Mixed Spices & Seasonings,Meat Seasoning]]"
0,54397,"Faygo, Rock &amp; Rye Soda, 2 Liter (Pack of 8)","[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Soft Drinks]]"
0,54398,"Nagatanien Ochazuke Nori , Assortment&nbsp;(Pack of 50)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Dried Seaweed & Nori]]"
0,54399,Honey Bee Brand Premium Roasted Seaweed Snack (Green Laver) Pack of 9,[[]]
0,54400,Dongwon Korean Olive Oil Flavored Seasoned Seaweed (Laver) Snack 0.17-ounce Bags (Pack of 9),"[[Grocery & Gourmet Food,Cooking & Baking,Dried Seaweed & Nori]]"
0,54401,Moonstruck Chocolate 40pc Valentine Wrapped Collection,"[[Grocery & Gourmet Food,Candy & Chocolate,Chocolate & Fudge,Chocolate Truffles]]"
0,44028,Nagatanien OTONA NO FURIKAKE Mini #2 | Rice Seasoning | 34.8g ( 20 Pcs ) [ Japanese Import ],"[[Grocery & Gourmet Food,Pantry Staples,Herbs, Spices & Seasonings,Mixed Spices & Seasonings,Meat Seasoning]]"
1,44028,Nagatanien OTONA NO FURIKAKE Mini #2 | Rice Seasoning | 34.8g ( 20 Pcs ) [ Japanese Import ],"[[Grocery & Gourmet Food,Pantry Staples,Herbs, Spices & Seasonings,Mixed Spices & Seasonings,Meat Seasoning]]"
1,54400,Dongwon Korean Olive Oil Flavored Seasoned Seaweed (Laver) Snack 0.17-ounce Bags (Pack of 9),"[[Grocery & Gourmet Food,Cooking & Baking,Dried Seaweed & Nori]]"
1,54399,Honey Bee Brand Premium Roasted Seaweed Snack (Green Laver) Pack of 9,[[]]
1,54398,"Nagatanien Ochazuke Nori , Assortment&nbsp;(Pack of 50)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Dried Seaweed & Nori]]"
2,54397,"Faygo, Rock &amp; Rye Soda, 2 Liter (Pack of 8)","[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Soft Drinks]]"
2,5562,Nagatanien OTONA NO FURIKAKE Mini #1 | Rice Seasoning | 37.6g ( 20 Pcs ) [ Japanese Import ],"[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Mixed Spices & Seasonings,Meat Seasoning]]"
3,15347,Mayan Caveman Cookies,[[]]
3,40022,Tanka Bar Natural Buffalo Bar Variety Pack of 12,"[[Grocery & Gourmet Food,Snack Foods,Jerky & Dried Meats]]"
3,42705,Alpine Caveman Cookies,"[[Grocery & Gourmet Food,Snack Foods,Cookies,Chocolate]]"
4,54620,Green Mountain Coffee - Wild Mountain Blueberry 24 Count K-Cups - (Pack of 4),"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
4,310,"Green Mountain Coffee Fair Trade Wild Mountain Blueberry, 24-Count K-Cups for Keurig Brewers (Pack of 2)","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
4,16165,Green Mountain Limited Edition Golden French Toast K Cups 24 Count,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
4,20679,"Keurig, Gloria Jean's, Hazelnut, K-Cup packs, 50-Count","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
4,17513,"Green Mountain Coffee Dark Magic (Extra Bold), K-cups For Keurig Brewers, 24-count Box","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
4,42436,"Keurig, The Original Donut Shop, 50 Count K-Cup Packs","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
4,35263,"Keurig, Tully's Italian Roast,50 K-Cup Packs","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
4,33809,"Keurig, Coffee People, Jet Fuel, 50 Count K-Cup Packs","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
5,51654,"Jolly Rancher Sugar Free Hard Candy, Assorted Flavors, 3.6-Ounce Bags (Pack of 12)","[[Grocery & Gourmet Food,Candy & Chocolate,Hard Candy & Lollipops,Hard Candy]]"
5,23213,"Werther's Original Hard Candy, Caramel Sugar Free, 2.75-Ounce Bags (Pack of 12)","[[Grocery & Gourmet Food,Candy & Chocolate,Brittle, Caramel & Toffee,Caramels]]"
5,19489,"LifeSavers Sugar Free Wint-O-Green Hard Candy, 2.75-Ounce Bags, (Pack of 12)","[[Grocery & Gourmet Food,Candy & Chocolate,Mints]]"
5,25098,"LifeSavers Sugar Free 5 Flavor Hard Candy, 2.75-Ounce Bags, (Pack of 12)","[[Grocery & Gourmet Food,Candy & Chocolate,Hard Candy & Lollipops,Hard Candy]]"
5,33518,LifeSavers sugar free wild cherry hard candy - 2.75 Ea (Pack of 12),"[[Grocery & Gourmet Food,Candy & Chocolate,Hard Candy & Lollipops,Hard Candy]]"
6,14995,"Stretch Island Original Fruit Leather, Mango, 30 -  0.5-Ounce Bars Per Box","[[Grocery & Gourmet Food,Snack Foods,Fruit Leather]]"
6,61,"Stretch Island Fruit Leather Variety Pack 48-Count, 0.5-Ounce Package","[[Grocery & Gourmet Food,Snack Foods,Fruit Leather]]"
7,2560,"Garden of Life Raw Organic Meal, 2.6lbs","[[Health & Household,Sports Nutrition,Protein,Powders,Blends]]"
7,26423,"Celestial Seasonings Herb Tea, Tension Tamer, 20-Count Tea Bags (Pack of 6)","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea,Herbal]]"
7,2464,Harney &amp; Sons Hot Cinnamon Spice 30ct 2.67 oz,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea,Black]]"
8,17273,"Bright Beginnings Premium Milk-Based Baby Powder Formula with Iron, Stage 2, 24.0 Ounce",[[]]
8,42833,"Bright Beginnings Premium Milk-Based Formula with Iron, 23.4 Ounce",[[]]
8,29625,"Vermont Organics Milk-Based Organic Infant Formula with Iron, 23.2 oz.  (pack of 4) (Packaging May Vary)","[[Baby Products,Feeding,Baby Foods,Formula]]"
8,48374,"Vermont Organics Soy-Based Organic Infant Formula with Iron, 23.2 oz. cans (pack of 4)","[[Baby Products,Feeding,Baby Foods,Formula]]"
9,48374,"Vermont Organics Soy-Based Organic Infant Formula with Iron, 23.2 oz. cans (pack of 4)","[[Baby Products,Feeding,Baby Foods,Formula]]"
9,29625,"Vermont Organics Milk-Based Organic Infant Formula with Iron, 23.2 oz.  (pack of 4) (Packaging May Vary)","[[Baby Products,Feeding,Baby Foods,Formula]]"
10,14302,Mullu Tenkuzhal,[[]]
10,13889,Mini Thattai,[[]]
10,54500,Haldirams Hara Chiwda 400g,"[[Grocery & Gourmet Food,Canned, Jarred & Packaged Foods,Packaged Meals & Side Dishes,Indian Dishes]]"
11,35873,"Green Giant Mixed Vegetable Blend, 15-Ounce (Pack of 6)","[[Grocery & Gourmet Food,Canned, Jarred & Packaged Foods,Vegetables]]"
11,17468,"Libby's Organic Sweet Peas, 15-Ounces Cans (Pack of 12)","[[Grocery & Gourmet Food,Pantry Staples,Canned, Jarred & Packaged Foods,Vegetables]]"
12,48563,Mio Liquid Water Enhancer Cranberry Raspberry 1.62 Ounce (Pack of 4),"[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Powdered Drink Mixes & Flavorings,Water Flavoring Drops]]"
12,42405,Dasani Drops Water Flavor Enhancer Pineapple Coconut 1.9 Fl Oz (Pack of 3),"[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Flavor Syrups]]"
13,18185,"Bob's Red Mill Flaked Coconut Unsweetened,  4 - 12-Ounce Bags","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Coconut Flakes]]"
13,52580,"Bob's Red Mill Granola, Apple Cinnamon No Fat, 12-Ounce Bags (Pack of 4)","[[Grocery & Gourmet Food,Breakfast Foods,Cereals,Granola]]"
14,22460,"Maple Grove Farms Gluten Free Pancake &amp; Waffle Mix, 16-Ounce Boxes (Pack of 4)","[[Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Pancakes & Waffles]]"
14,10606,"Glutino Gluten Free Pantry Fluffy Pancake Mix, 16-Ounce Boxes (Pack of 6)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Baking Mixes,Pancakes & Waffles]]"
14,7110,"Bisquick Pancake and Baking Mix, Gluten-Free, 16-Ounce Boxes (Pack of 3)","[[Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Pancakes & Waffles]]"
15,52498,"Bob's Red Mill Gluten-Free Pancake Mix, 22-Ounce Packages (Pack of 4)","[[Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Pancakes & Waffles]]"
15,5252,"Sam Mills Pasta D'Oro Gluten Free Penne Rigate, 1-Pound (Pack of 6)","[[Grocery & Gourmet Food,Pantry Staples,Pasta & Noodles,Pasta,Penne]]"
16,16939,"Frontier Garlic Powder, 16 Ounce Bags (Pack of 2)","[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Single Herbs & Spices,Garlic]]"
16,54663,Cortas Falafel Powder 200gr (7oz),"[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Baking Mixes]]"
16,47844,"Lawry's Taco Spices &amp; Seasonings, 1-Ounce Packets (Pack of 24)","[[Grocery & Gourmet Food,Pantry Staples,Herbs, Spices & Seasonings,Mixed Spices & Seasonings,Mexican Seasoning]]"
16,16885,"Libby's Organic Garbanzo Beans, 15-Ounces Cans (Pack of 12)","[[Grocery & Gourmet Food,Pantry Staples,Canned, Jarred & Packaged Foods,Beans & Peas,Garbanzo Beans]]"
16,9868,Yehuda Hummus,"[[Grocery & Gourmet Food,Snack Foods,Crackers]]"
16,19282,"Spicy World Crushed Mint Leaves, 3.5-Ounce Bags (Pack of 6)","[[Grocery & Gourmet Food,Pantry Staples,Herbs, Spices & Seasonings,Single Herbs & Spices,Peppermint Leaf]]"
16,32258,Kevala Organic Tahini 16 oz,"[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Cooking Oils, Vinegars & Sprays,Oils,Sesame]]"
16,44804,"Nature's Way Coconut Oil, 16 Ounce","[[Health & Household,Vitamins & Dietary Supplements,Blended Vitamin & Mineral Supplements]]"
16,6491,"Bob's Red Mill Bulgur Red Wheat Ala, 28-Ounce (Pack of 4)","[[Grocery & Gourmet Food,Pantry Staples,Dried Grains & Rice]]"
16,48921,"Spicy World Tellicherry Pepper, 14-Ounce Unit","[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Pepper & Peppercorns,Ground Pepper]]"
17,48921,"Spicy World Tellicherry Pepper, 14-Ounce Unit","[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Pepper & Peppercorns,Ground Pepper]]"
17,47844,"Lawry's Taco Spices &amp; Seasonings, 1-Ounce Packets (Pack of 24)","[[Grocery & Gourmet Food,Pantry Staples,Herbs, Spices & Seasonings,Mixed Spices & Seasonings,Mexican Seasoning]]"
18,46121,Organic Silver Needle Loose Leaf White Tea,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea,Green]]"
18,18353,Tea Forte Loose Leaf Tea Canister - Jasmine Green 3.5 ounces,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea,Green]]"
19,36865,"San Francisco Bay Coffee French Roast, 80 OneCup Single Serve Cups","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
19,9856,"Green Mountain Coffee, Celestial Seasonings Southern Sweet Perfect Iced Tea, K-Cup Portion Pack for Keurig K-Cup Brewers, 22-Count","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea,Iced Tea]]"
20,17513,"Green Mountain Coffee Dark Magic (Extra Bold), K-cups For Keurig Brewers, 24-count Box","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
20,31914,"Spice Appeal Chipotle Chili Ground, 16-Ounce Jars (Pack of 2)","[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Mixed Spices & Seasonings,Chili Powder]]"
20,40452,"Crazy Cups Wolfgang Puck Sampler,  K-Cup Portion Pack for Keurig K-Cup Brewers (Pack of 35)","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
20,52568,"San Francisco Bay Coffee Fog Chaser, 12-Count OneCup Single Serve Cups (Pack of 3)","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
20,35393,"Yogi Chai Rooibos Tea, 16 Tea Bags (Pack of 6)","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea,Chai]]"
20,42180,"San Francisco Bay Coffee Breakfast Blend, 80 OneCup Single Serve Cups","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
20,12062,"Green Mountain Coffee Hazelnut Decaf, Light Roasted, K-Cup Portion Pack for Keurig K-Cup Brewers, 24-Count","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
20,9397,"Brew and Save Refillable Single-cup (coffee or tea or cider) for Keurig K-Cup Brewers, 2 Count",[[]]
