index ID,item ID,titles,categories
0,62,Tommy Hilfiger Men's Tommy Star Print Boxer,"[[Clothing, Shoes & Jewelry,T,Tommy Hilfiger],[Clothing, Shoes & Jewelry,Men,Clothing,Underwear,Boxers],[Clothing, Shoes & Jewelry,Men,Big & Tall]]"
1,123,Moving Comfort Women's Luna Bra,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Intimates,Bras]]"
2,174,Patty Women's Cotton Asymmetrical Neck Long Sleeve Stretch Solid Blouse,"[[Clothing, Shoes & Jewelry,Women,Clothing,Tops & Tees,Blouses & Button-Down Shirts]]"
3,234,"GT-Dress Women Fashion Loose plus size strap twinset t shirt blouse top, Women cotton T-shirts Suits","[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing]]"
4,249,MA by Michael Antonio Women's Tipton-GLT Platform Sandal,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,M,Michael Antonio],[Clothing, Shoes & Jewelry,Women,Shoes,Sandals]]"
5,279,"aryn K Women's Print Halter Maxi Dress, Multi, X-Small","[[Clothing, Shoes & Jewelry,Women,Clothing,Dresses,Casual]]"
6,395,Columbia Girls 7-16 Y Baddabing Hat,"[[Sports & Outdoors,Clothing,Girls,Accessories,Hats & Caps,Cold Weather Hats],[Clothing, Shoes & Jewelry,Girls,Accessories,Cold Weather,Hats & Caps],[Clothing, Shoes & Jewelry,Girls,Accessories,Hats & Caps]]"
7,468,Converse Unisex Chuck Taylor All Star Hi Top Black Monochrome Sneaker,"[[Clothing, Shoes & Jewelry,C,Converse],[Clothing, Shoes & Jewelry,Street, Surf & Skate],[Clothing, Shoes & Jewelry,Men,Shoes,Fashion Sneakers],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Work Wear & Uniforms]]"
8,693,Champion Women's 3 Pack High Performance Low Cut Heel Shield Socks,"[[Sports & Outdoors,Clothing,Women,Socks],[Clothing, Shoes & Jewelry,Women,Clothing,Active,Athletic Socks],[Clothing, Shoes & Jewelry,Women,Petite,Active]]"
9,694,Retro Chic - Swing Dress,"[[Clothing, Shoes & Jewelry,Women,Clothing,Dresses,Night Out & Cocktail],[Clothing, Shoes & Jewelry,Women,Juniors,Dresses,Night Out & Cocktail],[Clothing, Shoes & Jewelry,Women,Plus-Size,Dresses,Night Out & Cocktail]]"
10,782,"(KDNG177CC) Kidtopia Girls 0/3M-24M Sweatpants in Grey, 3/6M","[[Clothing, Shoes & Jewelry,Baby,Baby Girls,Clothing,Bottoms,Pants]]"
11,796,Roxy Women's Sun dial Flip Flop,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,R,Roxy],[Clothing, Shoes & Jewelry,Street, Surf & Skate],[Clothing, Shoes & Jewelry,Women,Shoes,Sandals]]"
12,875,Genie Bra Women's Big Twin Pack,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Intimates,Bras,Everyday Bras]]"
13,881,California Costumes Foxy Lady Set,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Costumes & Accessories,Costumes,Women]]"
14,905,Monster Tattoos,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Costumes & Accessories,Costumes,Kids & Baby,Girls]]"
15,920,1928 Jewelry &quot;Simplicity&quot; Hematite-Color and Sapphire-Color Drop Earrings,"[[Clothing, Shoes & Jewelry,Jewelry: International Shipping Available],[Clothing, Shoes & Jewelry,Shop by Designer],[Clothing, Shoes & Jewelry,Women,Jewelry,Fashion,Earrings,Drop & Dangle],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty]]"
16,952,Classic Vintage Style Chiffon High-low Dresses,"[[Clothing, Shoes & Jewelry,Women,Clothing,Dresses,Casual]]"
17,1039,Sakkas Ladies Cute Colorful Design or Solid Knee High Socks Assorted 6-Pack,"[[Clothing, Shoes & Jewelry,Women,Clothing,Socks & Hosiery,Casual Socks]]"
18,1078,Jockey Women's Tonal Neon Spacedye Seamless Bra,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Intimates,Bras,Sports Bras]]"
19,1156,NIKE 6PPK BAG COTTON NO SHOW (L) (ADULT UNISEX),"[[Clothing, Shoes & Jewelry,Men,Clothing,Active,Athletic Socks]]"
20,1197,2 Pieces of Gold with Multicolor Iced Out Sideways Cross Pendant with an 20 Inch Adjustable Link Chain Necklace,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Necklaces & Pendants]]"
21,1231,1016 Woodland Camouflage Womens Short Mini Skirt Large,"[[Sports & Outdoors,Clothing,Women,Skirts],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Work Wear & Uniforms,Clothing,Military]]"
22,1336,Alexander Del Rossa Women's Classic Satin Pajama Set,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Sleep & Lounge,Sets]]"
23,1344,Sakkas Petite High Waist Shirred Stretch Pencil Skirt with Wide Belt,"[[Clothing, Shoes & Jewelry,Women,Clothing,Skirts],[Clothing, Shoes & Jewelry,Women,Petite,Skirts]]"
24,1396,Ollio Women's Ballet Shoe Comfort Faux-Suede Leopard Flat,"[[Clothing, Shoes & Jewelry,Women,Shoes,Flats]]"
25,1398,adidas Men's Marathon 10 M Running Shoe,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,adidas],[Clothing, Shoes & Jewelry,Men,Shoes,Athletic,Running]]"
26,1455,D.A.D.D. Dads Against Daughters Dating T-Shirt Size: X-Large Color: Blue,"[[Clothing, Shoes & Jewelry,Men],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Men,Shirts,T-Shirts]]"
27,1487,Levi's Men's 527 Slim Boot Cut Jean,"[[Clothing, Shoes & Jewelry,Men,Clothing]]"
28,1510,Ray-Ban RB2140 Original Wayfarer Sunglasses,"[[Sports & Outdoors,Accessories,Sports Sunglasses],[Clothing, Shoes & Jewelry,R,Ray-Ban],[Clothing, Shoes & Jewelry,Women,Accessories,Sunglasses & Eyewear Accessories,Sunglasses],[Clothing, Shoes & Jewelry,Men,Accessories,Sunglasses & Eyewear Accessories,Sunglasses]]"
29,1736,Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top,"[[Clothing, Shoes & Jewelry,Women,Clothing,Tops & Tees,Tanks & Camis]]"
30,1816,Zcargel Elastic Butterfly Knot Hook Buckle Ladies Waist Belt,"[[Clothing, Shoes & Jewelry,Women,Accessories,Belts]]"
31,1875,Laura Womens Tank Top Shorts Set Purple Comfortable Pajama #525045 (XL),"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Sleep & Lounge,Sets]]"
32,1896,Bass Women's Wayfarer Penny Loafer,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,B,Bass],[Clothing, Shoes & Jewelry,Women,Shoes,Loafers & Slip-Ons]]"
33,1991,Womens &quot;Dope&quot; Side Strip Black Leggings (MTC),"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Women,Leggings]]"
34,2108,Sterling Silver Small Crescent Moon Pentacle Pentagram Pendant Wicca Jewelry,"[[Clothing, Shoes & Jewelry,Women,Jewelry,Fine,Necklaces,Pendants],[Clothing, Shoes & Jewelry,Women,Jewelry,Religious,Necklaces & Pendants,Pendants],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty]]"
35,2138,Lewis N. Clark   Tsa Cable Lock 2 Pack,"[[Tools & Home Improvement,Hardware,Padlocks & Hasps,Combination Padlocks],[Clothing, Shoes & Jewelry,Luggage & Travel Gear,Travel Accessories,Luggage Locks]]"
36,2179,MG Collection SEY Black Bow Heart Lock PU Patent Leather Hobo Shoulder Bag,"[[Clothing, Shoes & Jewelry,Women,Handbags & Wallets,Top-Handle Bags]]"
37,2202,Fancy That Clothing Women's Short Sleeve Pencil V- Neck Dress,"[[Clothing, Shoes & Jewelry,Women,Clothing,Dresses,Night Out & Cocktail]]"
38,2227,Romwe Women's Cute Cat Patterns Printed Polyester Leggings,"[[Clothing, Shoes & Jewelry,Women,Clothing,Leggings]]"
39,2231,Allen Edmonds Men's McAllister Wing Tip,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,Allen Edmonds],[Clothing, Shoes & Jewelry,Men,Shoes,Oxfords]]"
40,2309,Lilyette Women's Plunge Into Comfort Keyhole Minimizer Underwire Bra,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Intimates,Bras,Minimizers],[Clothing, Shoes & Jewelry,Women,Petite,Intimates,Bras,Minimizers]]"
41,2327,Breaking Bad Men's I Am The Danger T-Shirt,"[[Clothing, Shoes & Jewelry,Men,Clothing,Shirts,T-Shirts],[Clothing, Shoes & Jewelry,Men,Big & Tall],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Men,Shirts,T-Shirts]]"
42,2366,Body Accentz&trade; Earrings Rings Fake Cheater 316L Surgical Steel Triple Extended Spike Fake Taper with O-Rings 16 gauge - Sold as a pair,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Body Jewelry,Piercing Jewelry,Plugs]]"
43,2404,KATGI Fashion Vintage Owl Retro Art Collection Charm Earrings or Pendant Necklace Collection,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Necklaces & Pendants]]"
44,2448,Invicta Men's 1433 Russian Diver Black Dial Rubber Watch,"[[Sports & Outdoors,Accessories,Sport Watches],[Clothing, Shoes & Jewelry,New Arrivals],[Clothing, Shoes & Jewelry,Jewelry: International Shipping Available],[Clothing, Shoes & Jewelry,Fashion Watches],[Clothing, Shoes & Jewelry,Available for International Shipping],[Clothing, Shoes & Jewelry,Sport Watches],[Clothing, Shoes & Jewelry,Invicta],[Clothing, Shoes & Jewelry,Men,Watches,Wrist Watches],[Clothing, Shoes & Jewelry,Men's Athletic Watches]]"
45,2488,La Isla Women's High Impact Wire Free Non Padded Powerful Seam Free Sports Bra,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Intimates,Bras,Sports Bras]]"
46,2515,Adidas Boat Slip On DLX Shoe - Men's,"[[Sports & Outdoors,Accessories,Sports Sunglasses],[Sports & Outdoors,Clothing,Men,Accessories,Sunglasses],[Clothing, Shoes & Jewelry,adidas],[Clothing, Shoes & Jewelry,Men]]"
47,2561,Bali Women's Lace N Smooth Body Briefer,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Intimates,Bras,Everyday Bras],[Clothing, Shoes & Jewelry,Women,Plus-Size]]"
