bundle ID,item ID,titles,categories
0,111245,Transcend 400X - 64 GB Compact Flash Memory Card TS64GCF400 (Blue),"[[Electronics,Computers & Accessories,Cables & Accessories,Memory Cards,CompactFlash Cards]]"
0,133970,Toshiba Canvio 750 GB USB 3.0 Basics Portable Hard Drive - HDTB107XK3AA(Black),"[[Electronics,Computers & Accessories,Data Storage,External Hard Drives]]"
0,53071,"Silicon Power 32GB Firma ZN F80 USB 2.0 Flash Drive, Gray Aluminium (SP032GBUF2F80V1S)","[[Electronics,Computers & Accessories,Data Storage,USB Flash Drives]]"
1,53005,"Belkin 3-Outlet Mini Travel Swivel Charger Surge Protector with Dual USB Ports, 5 Charging Outlets Total (1 AMP / 5 Watt)","[[Electronics,Computers & Accessories,Cables & Accessories,Surge Protectors]]"
1,125741,Laptop/Notebook Battery for Dell Inspiron,"[[Electronics,Computers & Accessories,Laptop & Netbook Computer Accessories,Batteries]]"
1,41876,"Wasabi Power Battery for Canon LP-E6 and Canon EOS 5D Mark II, EOS 5D Mark III, EOS 6D, EOS 7D, EOS 60D, EOS 60Da, EOS 70D","[[Electronics,Camera & Photo,Accessories,Batteries & Chargers,Batteries,Camera Batteries]]"
1,167070,Mophie Juice Pack Air Battery Case for iPhone 5 and 5S,"[[Cell Phones & Accessories,Accessories,Batteries,Battery Charger Cases],[Electronics,Computers & Accessories]]"
2,56206,"SANOXY&reg; USB 6 LED PC Webcam Camera plus + Night Vision MSN, ICQ, AIM, Skype, Net Meeting and compatible with Win 98 / 2000 / NT / Me / XP / Vista","[[Electronics,Computers & Accessories,Webcams]]"
2,109020,"VideoSecu LCD Monitor TV Wall Mount Articulating Arm Bracket for most 12&quot;-24&quot;, some up to 27&quot; with VESA 100/75mm LED Flat Panel Screen TV ML10B 1E9","[[Electronics,Accessories & Supplies,Audio & Video Accessories,TV Accessories & Parts,TV Ceiling & Wall Mounts]]"
2,121146,Etekcity&reg; USB Wireless Wi-Fi Network Adapter with Dual 6 dBi Antennas - 802.11 B/G/N 300Mbps,"[[Electronics,Computers & Accessories,Networking Products,Network Adapters,USB Network Adapters]]"
3,27539,Scosche Automotive Wire Harness -1988-up GM Micro/Delco Antenna Adapter,"[[Electronics,Car & Vehicle Electronics,Vehicle Electronics Accessories,Audio & Video Accessories,Antennas]]"
3,106038,SD/MMC/USB/MP3 Wireless In Car FM Transmitter with Remote (Black),"[[Electronics,Portable Audio & Video,MP3 Players & Accessories,MP3 Player Accessories,FM Transmitters]]"
3,87032,Metra 70-1858 Radio Wiring Harness For GM 88-05 Harness,"[[Electronics,Car & Vehicle Electronics,Vehicle Electronics Accessories]]"
4,87032,Metra 70-1858 Radio Wiring Harness For GM 88-05 Harness,"[[Electronics,Car & Vehicle Electronics,Vehicle Electronics Accessories]]"
4,121146,Etekcity&reg; USB Wireless Wi-Fi Network Adapter with Dual 6 dBi Antennas - 802.11 B/G/N 300Mbps,"[[Electronics,Computers & Accessories,Networking Products,Network Adapters,USB Network Adapters]]"
