index ID,item ID,titles,categories
0,49,"ASUS GTX760-DC2OC-2GD5 GeForce GTX760 2GB GDDR5 256-bit, DVI-I/DVI-D/ HDMI/DP PCI-Express 3.0 SLI ready Graphic Card OC-selected 1072 MHz core","[[Electronics,Computers & Accessories,Computer Components,Graphics Cards]]"
1,126,"EN-EL15 Battery Charger for Nikon 1 V1, D60,0 D610, D800, D810, D7000, D7100 Digital SLR Camera + More!!","[[Electronics,Camera & Photo,Accessories,Batteries & Chargers,Battery Chargers,Camera]]"
2,133,"Plugable USB 2.0 Flash Memory Card Reader for Windows, Mac, Linux, and Certain Android Systems - Supports SD cards (SDHC, Mini SD, Micro SD / T-Flash, etc) and MS, MS Pro Duo, MMC, More","[[Electronics,Computers & Accessories,Cables & Accessories,Memory Card Readers]]"
3,170,Purosol All Natural Lens Cleaner 1oz.,"[[Electronics,Camera & Photo,Accessories,Cleaning Equipment,Cleaning Kits]]"
4,291,Evecase SlimBook Leather Folio Stand Case Cover for Toshiba Encore WT8 8-Inch Windows 8.1 Tablet ( Black ),"[[Electronics,Computers & Accessories,Touch Screen Tablet Accessories,Cases & Sleeves,Cases]]"
5,300,Canon EF 70-200mm f/2.8L USM Telephoto Zoom Lens for Canon SLR Cameras,"[[Electronics,Camera & Photo,Lenses,Camera Lenses,Digital Camera Lenses]]"
6,323,Microsoft Sculpt Mobile Mouse (43U-00001),"[[Electronics,Computers & Accessories,Cables & Accessories,Mice]]"
7,332,Rosewill Steel/Plastic ATX Mid Tower Computer Case Blackbone,"[[Electronics,Computers & Accessories,Computer Components,Computer Cases]]"
8,477,magicJack Plus,"[[Electronics,Portable Audio & Video,Digital Voice Recorders]]"
9,498,GoPro HERO3+: Silver Edition,"[[Electronics,Camera & Photo,Video,Sports & Action Video Cameras]]"
10,556,ATC 12 Cell NEW Li-ion Replacement Laptop Battery,"[[Electronics,Computers & Accessories,Laptop & Netbook Computer Accessories,Batteries]]"
11,584,Microsoft LifeChat LX-3000 Headset (JUG-00013),"[[Electronics,Computers & Accessories,Cables & Accessories,Headsets & Microphones,PC Headsets]]"
12,639,Kingston Digital DataTraveler SE9 8GB USB 2.0 (DTSE9H/8GBZET),"[[Electronics,Computers & Accessories,Data Storage,USB Flash Drives]]"
13,680,Wilson Electronics - Sleek 4G - Cell Phone Signal Booster for Single User - Retail Packaging - Black,"[[Cell Phones & Accessories,Accessories,Signal Boosters],[Electronics,Computers & Accessories,Computer Components]]"
14,694,Times Microwave LMR-400 PL259 Coax Ham or CB Radio Jumper Antenna Coaxial UHF VHF HF Coax Cable Jumper RF Transmission Line PL-259 Connectors - Made in USA - (3 ft US Made LMR-400 coaxial jumper),"[[Electronics,Portable Audio & Video,CB & Two-Way Radios,Accessories,Antennas]]"
