index ID,item ID,titles,categories
0,7,"Plocky's Hummus Chips, Original, 1-Ounce (Pack of 24)","[[Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Potato]]"
1,9,"Stash Tea Fusion Red, White &amp; Blueberry Tea, 18 Count Tea Bags in Foil (Pack of 6)","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea,White]]"
2,22,"Rold Gold Classic Stick Pretzels, 16 Ounce Bag","[[Grocery & Gourmet Food,Breads & Bakery,Breads,Pretzels]]"
3,57,"Twizzlers Pull 'n' Peel Candy, Cherry, 14-Ounce Bags (Pack of 6)","[[Grocery & Gourmet Food,Candy & Chocolate,Jelly Beans & Gummy Candy,Gummy Candy]]"
4,61,"Stretch Island Fruit Leather Variety Pack 48-Count, 0.5-Ounce Package","[[Grocery & Gourmet Food,Snack Foods,Fruit Leather]]"
5,72,"Trident Splash Sugar Free Gum, Strawberry - Lime, 9-Count (Pack of 10)","[[Grocery & Gourmet Food,Candy & Chocolate,Chewing & Bubble Gum]]"
6,76,"Wilton Edible Glitter, Pink Hearts","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Frosting, Icing & Decorations,Glitter]]"
7,83,"Snappy Popcorn 1 Gallon Snappy Pure Peanut Oil No Color Added, 128 Fl Oz","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Cooking Oils, Vinegars & Sprays,Oils,Peanut]]"
8,129,house of herbs blackstrap molasses 16 oz Glass Jar,"[[Grocery & Gourmet Food,Cooking & Baking,Syrups, Sugars & Sweeteners,Molasses]]"
9,164,"Krusteaz Lemon Bars Supreme Mix, 19.35-Ounce Boxes (Pack of 12)","[[Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Cakes]]"
10,189,"Armour Potted Meat Made with Chicken and Pork, 5.5-Ounce Cans (Pack of 24)","[[Grocery & Gourmet Food,Pantry Staples,Canned, Jarred & Packaged Foods,Meat, Poultry & Seafood,Spiced Meat]]"
11,221,"Yankee Traders Classic Candy, Atomic Fireballs, 2 Pound","[[Grocery & Gourmet Food,Candy & Chocolate,Hard Candy & Lollipops,Hard Candy]]"
12,275,"Giorgio Mushrooms, Pieces N Stems, 4-Ounce (Pack of 24)","[[Grocery & Gourmet Food,Pantry Staples,Canned, Jarred & Packaged Foods,Vegetables,Mushrooms]]"
13,296,30 Packages Mama Tom Yum Flavour Instant Noodles,"[[Grocery & Gourmet Food,Canned, Jarred & Packaged Foods,Packaged Meals & Side Dishes,Pasta & Noodle Dishes]]"
14,304,"Knorr Italian Sides, Four Cheese Pasta, 4.1Ounce Packages (Pack of 12)","[[Grocery & Gourmet Food,Pantry Staples,Canned, Jarred & Packaged Foods,Packaged Meals & Side Dishes,Pasta & Noodle Dishes]]"
15,306,"Peak Instant Full-Cream Dry Whole Milk Powder, 400-Grams (Pack of 2)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Condensed & Powdered Milk,Powdered]]"
16,310,"Green Mountain Coffee Fair Trade Wild Mountain Blueberry, 24-Count K-Cups for Keurig Brewers (Pack of 2)","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
17,317,"San Francisco Bay Coffee Whole Bean Decaf Espresso Roast, 32-Ounce Bag","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Roasted Coffee Beans]]"
18,320,"Vigo Extra Virgin Olive Oil, 34 Ounce Glass","[[Grocery & Gourmet Food,Cooking & Baking,Cooking Oils, Vinegars & Sprays,Oils,Olive]]"
19,326,"Land O Lakes, Cocoa Mix Classic Raspberry, 1.25-Ounce (12 Pack)","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Cocoa]]"
20,336,"MIO Energy Liquid Enhancer Energy Drink, Acai Berry Storm 1.62 Ounce","[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Energy Drinks]]"
21,347,"Vita Coco Kids Coconut Water Variety Pack, 6 Ounce Containers (Pack of 18)","[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Coconut Water]]"
22,375,"Peanut Butter &amp; Co. Peanut Butter, Mighty Maple, 16-Ounce Jars (Pack of 6)","[[Grocery & Gourmet Food,Pantry Staples,Nut & Seed Butters,Peanut Butter]]"
23,385,"Edward &amp; Sons Organic Mashed Potatoes, Roasted Garlic, 3.5-Ounce Boxes (Pack of 6)","[[Grocery & Gourmet Food,Pantry Staples,Canned, Jarred & Packaged Foods,Packaged Meals & Side Dishes,Potatoes & Stuffings,Potato Side Dishes]]"
24,398,Spicy Bits,[[]]
25,432,"Fondarific Vanilla Fondant Antique White, 2-Pounds","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Frosting, Icing & Decorations]]"
26,446,"Hansen's Apple Juice, 64 Ounce Bottles (Pack of 8)",[[]]
27,448,"Hain Pure Foods Safflower Oil, 32 Ounce","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Cooking Oils, Vinegars & Sprays,Oils,Safflower]]"
28,539,24 Butterfly Twinkle Pops Assorted 7 Flavors,"[[Grocery & Gourmet Food,Candy & Chocolate,Hard Candy & Lollipops,Suckers & Lollipops]]"
29,565,"Hodgson Mill, Organic Whole Wheat Angel Hair Pasta, 12- ounce (Pack of 12)","[[Grocery & Gourmet Food,Pantry Staples,Pasta & Noodles,Pasta,Capellini]]"
30,573,"Ambrosia Pure Honey by Ambrosia Honey Co., 23 Ounce Bottles (Pack of 4)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Syrups, Sugars & Sweeteners,Honey]]"
31,577,"Nature Valley Chewy Granola Bars, Vanilla Yogurt, 6-Count Boxes (Pack of 12)","[[Grocery & Gourmet Food,Snack Foods,Bars,Granola]]"
32,637,"Jelly Belly Jelly Beans Gift Box, 21-Ounce","[[Grocery & Gourmet Food,Food & Beverage Gifts,Candy & Chocolate Gifts]]"
33,642,"Folgers Lively Colombian Coffee, 80-Count cups","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa]]"
34,653,Green &amp; Black's Organic Dark Chocolate 2-Flavor Variety: Two 3.5 oz Bars Each of Organic 70% Dark Chocolate and Organic 85% Dark Chocolate in a Gift Box,"[[Grocery & Gourmet Food,Candy & Chocolate,Candy & Chocolate Bars]]"
35,656,"Erdschwalbe Organic Almond Flour, 8.8 Oz., (Pack of 3)","[[Grocery & Gourmet Food,Cooking & Baking,Flours & Meals,Almond]]"
36,664,"Miracle Noodle Shirataki Pasta, Angel Hair, 7-Ounce (Pack of 6)","[[Grocery & Gourmet Food,Pantry Staples,Pasta & Noodles,Noodles,Shirataki]]"
37,675,"Side Mates Traditional Couscous, Roasted Garlic and Broccoli, 6 Ounce (Pack of 8)","[[Grocery & Gourmet Food,Dried Beans, Grains & Rice,Grains & Rice,Couscous]]"
38,679,"International Delight Coffee House Inspirations Half and Half, 180 Count Single Serve Creamers","[[Grocery & Gourmet Food,Dairy, Cheese & Eggs,Milk & Cream,Coffee Creamers]]"
39,682,Da Vinci Gourmet Syrups Hazelnut Syrup 750 ml Bottle,"[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Flavor Syrups]]"
40,690,"Kernel Season's Nacho Cheddar Seasoning, 2.85 Ounce Shakers (Pack of 6)","[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Salt & Salt Substitutes,Popcorn Salt]]"
41,695,"Amy's Organic Black Bean Chili, 14.7-Ounce Cans (Pack of 12)","[[Grocery & Gourmet Food,Soups, Stocks & Broths,Chili]]"
42,700,"Burton's Digestive Biscuits, 14 Ounce Roll","[[Grocery & Gourmet Food,Snack Foods,Cookies,Biscuits]]"
43,746,"Barilla Elbow Pasta, 16 Ounce Boxes (Pack of 16)","[[Grocery & Gourmet Food,Pantry Staples,Pasta & Noodles,Pasta,Penne]]"
44,749,"Dentyne Pure Gum, Mint with Herbal Accents, 9-Piece Packages (Pack of 10)","[[Grocery & Gourmet Food,Candy & Chocolate,Chewing & Bubble Gum]]"
45,759,"Namaste Foods, Gluten Free Waffle &amp; Pancake Mix,  21-Ounce Bags (Pack of 6)","[[Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Pancakes & Waffles]]"
46,800,"Tamanishiki Super Premium Short Grain Rice, 15-Pound","[[Grocery & Gourmet Food,Dried Beans, Grains & Rice,Grains & Rice,White]]"
47,804,"Bubble Yum Gum, Cotton Candy, 5-Piece Packages (Pack of 36)","[[Grocery & Gourmet Food,Candy & Chocolate,Chewing & Bubble Gum]]"
48,833,White Mulberry Tea (Morus Alba) Dr. Oz - 30 tea bags,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea]]"
