bundle ID,item ID
0,53071
0,111245
0,133970
1,41876
1,113898
2,121146
2,44622
3,27539
3,87032
4,27539
4,87032
5,74370
5,44239
6,41457
6,74370
7,30035
7,117733
7,178543
7,89616
8,117733
8,27987
8,150425
9,1212
9,6984
9,22366
9,64459
9,155610
10,1212
10,22366
10,64459
11,77803
11,125911
11,35457
12,147716
12,125911
13,56668
13,108845
14,176707
14,104048
14,166301
15,45198
15,137153
15,93236
16,17785
16,30784
17,118887
17,25846
17,82167
18,62085
18,75917
19,680
19,93719
20,93719
20,35457
21,123449
21,101545
22,25247
22,84287
22,128656
23,124875
23,80201
23,140144
24,177733
24,60820
24,57954
25,41831
25,103864
26,96866
26,122266
26,151947
27,66663
27,112202
28,122266
28,66663
29,96866
29,122266
30,14661
30,40099
31,166301
31,90796
32,36589
32,151196
33,74168
33,152615
34,97822
34,141008
35,91020
35,168632
35,108845
36,162381
36,168146
37,46109
37,78943
37,129688
37,160690
38,46109
38,78943
38,129688
38,160690
39,56312
39,111145
40,141299
40,63257
41,170978
41,44622
42,126383
42,5152
43,104512
43,175140
44,59870
44,112615
45,111923
45,128155
46,20413
46,58404
47,45793
47,118756
48,35065
48,133970
48,44239
49,50041
49,64302
50,6451
50,64753
50,135148
51,164381
51,83172
52,74778
52,130231
53,1653
53,54989
53,103820
53,35457
54,1653
54,54989
55,99189
55,123205
55,145247
56,99189
56,123205
56,145247
57,35457
57,112018
57,65305
58,74627
58,146288
59,178594
59,30029
59,6652
59,56668
60,8855
60,44239
60,93792
61,135214
61,150431
61,166301
62,83081
62,108845
62,177270
63,83197
63,118325
63,136257
64,83197
64,118325
65,9574
65,21099
65,62254
65,87751
65,101643
65,130758
65,158823
66,57692
66,57957
66,154358
66,51834
67,15912
67,154296
67,49828
68,2712
68,31637
68,84898
68,162850
69,107890
69,127864
69,169267
69,131157
70,22605
70,45691
70,66458
70,68595
70,110615
70,125046
70,141170
71,63439
71,11527
72,79138
72,108845
73,78193
73,12894
74,63439
74,11527
74,29902
75,1499
75,110481
75,90796
76,178546
76,93719
76,178446
77,93831
77,170354
77,35065
78,37671
78,152615
78,178515
79,138879
79,178515
79,109493
79,19165
80,26775
80,26796
80,78408
80,174634
80,121023
80,177836
81,26775
81,26796
81,78408
81,160512
81,174634
82,13109
82,142066
83,14077
83,44824
83,103973
84,13109
84,142066
85,14077
85,103973
86,33073
86,3734
87,150336
87,80550
88,79921
88,110646
89,163247
89,29775
90,49178
90,94690
90,159317
91,133
91,6190
91,11651
91,25552
91,49178
91,94690
91,159317
92,57957
92,105787
92,10212
93,5354
93,12350
94,62045
94,67365
94,83134
94,105787
95,23333
95,103820
95,64073
96,112693
96,141208
96,99958
97,3564
97,119137
98,29479
98,127312
98,132967
98,140589
98,160809
98,177058
98,178481
99,59334
99,141170
100,11158
100,59334
100,85318
100,125752
100,145329
101,44239
101,63439
102,40699
102,44239
102,63439
103,52749
103,57616
103,28098
104,1450
104,155733
105,100109
105,108845
106,83371
106,161029
107,18758
107,156826
108,18758
108,68485
109,58670
109,102412
110,20672
110,58670
110,102412
111,16748
111,6548
112,16748
112,6548
113,55142
113,59452
114,8548
114,102915
115,9185
115,158027
116,36953
116,158027
117,28007
117,48427
117,76057
117,113636
117,153305
118,28007
118,48427
118,76057
118,113636
118,153305
119,95853
119,114725
120,870
120,97408
121,9018
121,73203
122,9018
122,73203
123,3476
123,14727
123,69101
123,140272
124,3476
124,8394
124,14727
124,37871
124,75994
124,140272
125,23020
125,142223
125,144411
126,139241
126,47046
126,3200
127,81600
127,110615
127,120111
128,81600
128,110615
128,120111
129,120111
129,81600
130,33483
130,37994
131,33483
131,37994
131,51646
132,66271
132,72436
133,50997
133,66258
133,89169
133,177533
134,50997
134,66258
134,144935
134,177533
135,70065
135,108762
136,74986
136,77580
136,160620
137,58378
137,74861
137,164020
137,82482
137,89616
138,74861
138,142643
138,146080
138,164020
138,53604
138,89616
139,58278
139,5072
139,17785
140,41045
140,89616
141,41045
141,89616
142,27411
142,134390
142,135377
143,34561
143,79622
144,45870
144,68076
144,73700
144,104048
144,108845
145,45870
145,73700
146,61648
146,86947
146,19165
147,40752
147,69043
147,139334
148,21770
148,24870
148,30894
148,68050
148,91396
148,157672
149,32441
149,97408
150,133416
150,90796
151,158027
151,108845
151,81735
152,131271
152,174506
153,69979
153,78737
153,156826
154,79138
154,156826
154,78193
155,66271
155,173351
156,51646
156,169065
157,62262
157,44239
158,25546
158,18184
158,51035
159,18184
159,51035
160,18184
160,51035
161,18184
161,51035
162,28004
162,45608
162,59877
163,28004
163,59877
164,28004
164,153453
164,19165
165,20027
165,60549
166,137528
166,584
167,42933
167,64753
167,116358
167,127892
168,45284
168,57773
168,103324
168,103226
169,323
169,47125
169,166301
170,111145
170,24255
171,127974
171,133172
171,78932
172,67797
172,117552
173,6706
173,7360
173,90796
174,28263
174,40273
174,110885
175,74324
175,165394
175,165436
176,74324
176,149551
176,165436
177,172482
177,158027
178,164254
178,85013
179,151787
179,90796
180,72122
180,152641
180,176647
181,72122
181,142223
181,152641
182,72122
182,142223
182,152641
183,23883
183,29169
183,38434
183,57616
183,62555
184,16132
184,149679
185,16132
185,111344
186,178503
186,178504
187,149238
187,178503
187,178504
188,163937
188,118032
189,82818
189,139070
189,34804
190,163937
190,174770
190,52371
191,62578
191,159051
191,89179
192,116223
192,61194
193,133278
193,26105
194,160688
194,89616
194,125220
194,57600
194,163059
194,168200
195,102682
195,91863
196,71562
196,91863
197,91863
197,102682
198,38799
198,45554
198,119844
199,24255
199,109272
199,161984
200,139506
200,110655
200,168232
201,24255
201,109272
201,35457
202,41137
202,112693
202,132700
203,41137
203,74051
203,112693
203,132700
204,91826
204,109880
205,19739
205,24870
205,43374
205,51646
205,74279
205,89169
205,132102
205,172159
206,19739
206,43374
206,51646
206,74279
206,132102
206,172159
206,15177
207,65466
207,159051
208,65466
208,159051
209,8646
209,56482
209,93140
210,63337
210,111311
210,113105
210,127901
210,167648
211,19558
211,91135
211,98074
211,155626
212,19558
