item ID,titles,description,product_type,brand,design_focus,target_user,cost_tier,key_features,categories
49,"ASUS GTX760-DC2OC-2GD5 GeForce GTX760 2GB GDDR5 256-bit, DVI-I/DVI-D/ HDMI/DP PCI-Express 3.0 SLI ready Graphic Card OC-selected 1072 MHz core","A high-performance graphics card designed for gaming and multimedia tasks, featuring 2GB GDDR5 memory, multiple output options, and overclocked speeds for enhanced visual experiences.",Graphics Card,ASUS,Performance,Consumer,Medium-Cost,"['2GB GDDR5 memory', '256-bit memory interface', 'Overclocked core speed of 1072 MHz']","Computers and Accessories, Gaming"
126,"EN-EL15 Battery Charger for Nikon 1 V1, D60,0 D610, D800, D810, D7000, D7100 Digital SLR Camera + More!!","A compatible battery charger designed for Nikon digital SLR cameras, including models like the 1 V1, D60, D610, D800, D810, D7000, and D7100.",Battery Charger,none,Value/Budget,"Professional, Consumer",Medium-Cost,"['Compatibility with multiple Nikon camera models', 'Efficient charging capabilities', 'Compact design for portability']","Camera and Accessories, Power Solutions"
133,"Plugable USB 2.0 Flash Memory Card Reader for Windows, Mac, Linux, and Certain Android Systems - Supports SD cards (SDHC, Mini SD, Micro SD / T-Flash, etc) and MS, MS Pro Duo, MMC, More","A versatile card reader that enables data transfer from various types of memory cards, including SD, MS, and MMC, to devices running Windows, Mac, Linux, and compatible Android systems.",Card Reader,Plugable,Versatility and Compatibility,Consumer,Medium-Cost,"['Supports multiple card formats (SD, MS, MMC, etc.)', 'Compatible with Windows, Mac, Linux, and certain Android systems', 'Plug-and-play functionality']","Computers and Accessories, Storage Solutions, Cables and Connectors, Adapters and Cables, General Electronics"
170,Purosol All Natural Lens Cleaner 1oz.,A 1oz. natural cleaning solution designed for safely cleaning camera lenses and other optical surfaces.,Lens Cleaner,Purosol,Safety and Eco-friendliness,Professional and Consumer,Medium-Cost,"['Natural cleaning solution', 'Safe for camera lenses and optical surfaces', '1oz size for portability']","Camera and Accessories, Photography and Camera Equipment"
291,Evecase SlimBook Leather Folio Stand Case Cover for Toshiba Encore WT8 8-Inch Windows 8.1 Tablet ( Black ),"A protective and stylish leather case designed specifically for the Toshiba Encore WT8 8-inch Windows 8.1 tablet, featuring a folio stand for hands-free viewing.",Tablet Case,Evecase,Aesthetics and Functionality,Consumer,Medium-Cost,"['Leather construction', 'Folio stand for hands-free viewing', 'Custom fit for Toshiba Encore WT8']","Tablets and Accessories, Mobile Devices and Accessories, Mobile Device Protection"
300,Canon EF 70-200mm f/2.8L USM Telephoto Zoom Lens for Canon SLR Cameras,"A high-performance telephoto zoom lens designed for Canon SLR cameras, offering a versatile focal length range of 70-200mm and a fast f/2.8 aperture for capturing sharp, detailed images in various lighting conditions.",Telephoto Zoom Lens,Canon,Performance,Professional,High-Cost,"['Focal length range of 70-200mm', 'Fast f/2.8 maximum aperture', 'USM (Ultrasonic Motor) for fast and silent autofocus']","Camera and Accessories, Photography and Camera Equipment"
323,Microsoft Sculpt Mobile Mouse (43U-00001),"A compact and wireless computer mouse designed for portability and ergonomic comfort, compatible with Windows operating systems.",Wireless Computer Mouse,Microsoft,Portability,Consumer,Medium-Cost,"['Wireless connectivity', 'Ergonomic design', 'Compatibility with Windows operating systems']",Computers and Accessories
332,Rosewill Steel/Plastic ATX Mid Tower Computer Case Blackbone,"A mid-sized computer case designed to house and protect ATX motherboards and components, featuring a steel and plastic construction.",Computer Case,Rosewill,Durability,Consumer,Medium-Cost,"['Compatibility with ATX motherboards', 'Steel and plastic construction', 'Mid-tower size']","Computers and Accessories, PC Building and Assembly"
477,magicJack Plus,"A device that allows users to make phone calls over the internet without a computer, using a standard phone.",VoIP Device,magicJack,Value/Budget,Consumer,Low-Cost,"['No Computer Required', 'Broadband Connection', 'Affordable Calling Plans']","Mobile Devices and Accessories, Miscellaneous Electronics, Walkie Talkies and Communication Devices"
498,GoPro HERO3+: Silver Edition,A compact and durable action camera designed for capturing high-quality video and photos in extreme environments.,Action Camera,GoPro,Durability,Consumer,Medium-Cost,"['High-definition video recording (up to 1080p)', 'Waterproof housing', 'Wi-Fi connectivity']","Camera and Accessories, Photography and Camera Equipment"
556,ATC 12 Cell NEW Li-ion Replacement Laptop Battery,A high-capacity rechargeable battery designed to replace or upgrade the power source for compatible laptops.,Replacement Laptop Battery,ATC,Performance,Consumer,Medium-Cost,"['High-capacity Li-ion technology', 'Compatibility with multiple laptop models', 'Rechargeable design']","Computers and Accessories, Power Solutions"
584,Microsoft LifeChat LX-3000 Headset (JUG-00013),"A USB stereo headset designed for comfortable, high-quality audio during online calls or gaming sessions on a PC.",Headset,Microsoft,Comfort and Audio Quality,Consumer,Medium-Cost,"['USB connectivity', 'Stereo sound', 'Comfortable design']","Computers and Accessories, Audio Equipment, Gaming"
639,Kingston Digital DataTraveler SE9 8GB USB 2.0 (DTSE9H/8GBZET),"This is an 8GB USB 2.0 flash drive designed for portable data storage and transfer, featuring a durable metal casing with an integrated key ring loop.",USB Flash Drive,Kingston,Portability,Consumer,Medium-Cost,"['8GB storage capacity', 'USB 2.0 interface', 'Durable metal casing with key ring loop']","Storage Solutions, Cables and Connectors"
