bundle ID,intent
0,Savory Asian Snack Selection
1,Seaweed
2,Diverse Japanese Rice Enhancements
3,Balanced Sweet Snack Trio
4,Curated Coffee Flavor Exploration
5,different candy
6,Fruit Leather
7,Herbal Tea Comfort Collection
8,Diverse Infant Formula Options
9,Diverse Infant Nutrition Options
10,"
TRADITIONAL SNACKS
"
11,Canned Vegetable Medley
12,drinks
13,Healthy Breakfast Toppings
14,Enhanced Gluten-Free Breakfast Experience
15,Complete gluten-free pasta meal
16,Mediterranean Cooking Essentials
17,Taco Night Essentials
18,Different food for drinking
19,Diverse Coffee Experience
20,Coffee and Tea Variety Pack
21,Diverse Coffee Experience
22,Fruit snacks
23,Sweet cookies 
24,Mediterranean Snack Experience
25,Complete Pasta Meal Enhancements
26,Lemon-Spice Dessert Components
27,Different food for cooking
28,Essential Gluten-Free Cookie Ingredients
29,Sweet breakfast enhancement
30,Candy Bars
31,Canned goods
32,Essential Baking Ingredients Set
33,Essential Savory Seasoning Variety
34,Different food for drinking
35,Noodles
36,Diverse Nostalgic Candy Selection
37,Nutritious Seed Snack Mix
38,Tropical Fruit Snack Selection
39,Healthy Seed Snack Mix
40,Flavorful Healthy Snack Mix
41,Good2Grow Fruit Juice
42,Coconut milk
43,Coconut Beverage Variety Pack
44,Diverse Cooking Oils Selection
45,Baking ingredients
46,Mother Earth Products
47,Whole Milk Powders
48,garlic and chives
49,Pecan Snack Variety Pack
50,Diverse Healthy Savory Snacks
51,Unique Snack Pairing Exploration
52,Diverse Coffee Experience
53,Classic Sweet Treats Assortment
54,Exotic Spice Exploration
55,coffee cups
56,Southern Condiment Variety Expansion
57,Lemon Drop Candy Collection
58,Diverse Summer Beverage Mixes
59,Chocolate Treats Variety Expansion
60,Diverse Relaxation Tea Selection
61,Comprehensive Relaxation Tea Experience
62,Chocolate Snack Collection
63,Vitamin C Drink Mix Collection
64,Cups for coffee machine
65,Traditional Balanced Breakfast
66,Mediterranean Pasta Meal
67,Balanced Healthy Snack Pack
68,Sugar-Free Snack Variety with Textural Diversity
69,Curated Sugar-Free Chocolate Selection
70,Gluten-Free Baking Essentials
71,Coconut Baking Essentials
72,snacks
73,Low carb snacks
74,Sweets
75,Essential Baking Ingredients for Sweet Treats
76,k cup coffee 
77,Different food of snack
78,Diverse Tea Experience
79,Tea bags
80,Healthy Snack Essentials
81,Diverse Berry Snack Selection
82,Healthy superfoods for life improvement
83,Traditional Cake Variety
84,bars
85,Coconut Beverage and Sweetener Pairing
86,Sweet Snack Variety Focus
87,Savory Snack Collection
88,Balanced Citrus and Chocolate
89,Nutrient-Dense Healthy Snacks
90,Nut Snack Variety Pack
91,Complete Coffee Brewing Essentials
92,Complete Cooking Ingredients
93,Ginger and Chamomile Tea Collection
94,Essential Italian Cooking Herbs
95,Savory Snack Variety Pack
96,Essential Curry Spice Collection
97,Refreshing Beverage Mixers
98,Diverse Caramel Snack Selection
99,Complete Thai Curry Meal
100,Diverse Nut Snack Selection
101,K-cup Coffee Variety Pack
102,Versatile Chocolate Selection
103,cocoa powder
104,snacks
105,Cocoa Beverage Preparation
106,Unique Flavor Candy Selection
107,Diverse Health Juices Selection
108,Healthy Snack Selection
109,Diverse Nut Selection
110,Diverse Quick Meal Options
111,Ready to Eat Meals
112,Traditional Afternoon Tea Experience
113,Seasonal Beverages and Adult Snacks
114,Tea / Coffee Making
115,Tea
116,K cup
117,K coffee
118,Chocolate Treats Selection
119,Gourmet Condiment Selection
120,Healthy Baking Ingredients
121,Organic Cooking
122,Nutritious Gluten-Free Breakfast Variety
123,bulk gluten-free foods
124,Gluten-Free Snack and Dessert Options
125,Essential Gluten-Free Baking Ingredients
126,Different food for drinking
127,Maple Syrup
128,Seasoning blend
129,Flavor Enhancers for Cooking
130,Indulgent Snack Variety Pack
131,Salty Snack Indulgence
132,Diverse Culinary Seed Collection
133,Sweet and Savory Snacks
134,Convenient Organic Vegetable Selection
135,Organic Plant-Based Protein Sources
136,Complete Iced Tea Experience
137,Coffee
138,Coffee Beverage Variety Pack
139,Indulgent Sweet Snack Selection
140,Diverse Single-Serve Coffee
141,Different food for drinking
142,Breakfast Items
143,different candy
144,Coffee and Dessert Syrups
145,Citrus Beverage Variety Enhancement
146,Healthy Snack Variety Pack
147,Essential Gluten-Free Baking Ingredients
148,Different food for drinking
149,Complete Italian Meal Kit
150,Complete Italian Pasta Meal
151,Chips and Dips Pairing
152,Classic Savory Snack Pairing
153,Gluten-free foods/ingredients
154,Gluten-Free Biscuit Essentials
155,Exploration of Global Teas
156,Versatile Low-Calorie Meal Prep
157,MIO FIT energy drink enhancers
158,Flavored Water Enhancers Only
159,Coffee and Chocolate Pairing
160,Different flavors of mix
161,Savory Sauce Enhancers
162,Organic Cooking Essentials
163,high-quality olive oils
164,Traditional Coffee Brewing Essentials
165,Different food for drinking
166,Diverse Single-Serve Coffee Selection
167,Complete Organic Coffee Experience
168,Balanced Sweet and Savory Snacks
169,Expanded Kosher Coffee Selection
170,Artificial Sweetener
171,Organic Sweetening Solutions
172,Complete Healthy Meal
173,Caffeinated Beverage Variety Expansion
174,Gluten-Free Baking Essentials
175,Caffeine-Free Beverage Selection
176,Healthy Snack Variety
177,Quick and Complete Breakfast
178,Flavorful Soup Meal Enhancement
179,Variety of Fruit Snacks
180,ORGANIC
181,organic sprouting seeds
182,Sugar free productd
183,Diverse Coffee Selection
184,Quick Comfort Meal Solutions
185,Mary Jane Chewy Candy Selection
186,Dry Fruit
187,Nuts
188,Traditional Low-Calorie Breakfast
189,Beverage Enhancement Set
190,Essential Soup Flavor Enhancers
191,Complete Gluten-Free Baking Essentials
192,Comprehensive Cake Decorating Essentials
193,Healthy Snack and Flavor Enhancers
194,Expanded Dried Fruit Selection
195,snack foods
196,Fitness Beverage and Snack Variety
197,Sweet Snack Pairing Experience
198,Biscuits
199,Quick Indian Meal Prep
200,Complete Fajita Meal Kit
201,Breakfast Cookie Collection
202,breakfast cookie
203,Diverse Plant-Based Protein Selection
204,Quick Plant-Based Meal Solutions
205,Refined Gourmet Chocolate Selection
206,Quick Pasta Meal Solutions
207,Macaroni Meal Variety Pack
208,Cocoa Mix
209,hot drinks 
210,Indulgent Holiday Snack Collection
211,Savory Snack Pairing Collection
212,Chips/Crackers
213,Breakfast Bars
214,nuts selection
215,Tea and Sweetener Selection
216,Organic stuff
217,Coffee Products
218,Diverse Salty Snack Experience
219,Health-Conscious Cookie Selection
220,Diverse Coffee Experience
221,Different flavors of pancake
222,Focused Noodle Exploration
223,Complete Asian Meal Kit
224,Different flavors of coffee
225,Caribbean Flavor Experience
226,Chewy Candy Variety Pack
227,Diverse Whole Grain Flours
228,Complete Coffee Brewing Experience
229,nuts
230,Nut-Based Healthy Snacks
231,Kit Kat 
232,Playful Sweet Treats Variety
233,Flavorful Low-Calorie Meal
234,Diverse Chocolate Treats Selection
235,Japanese Chocolate and Tea Exploration
236,Variety Popcorn Snack Selection
237,Fiber One snack products
238,Complete Thai Meal Experience
239,Quick Protein Meal Solutions
240,Coconut Water Flavor Variety
241,Infant-Specific Organic Snacks
242,Jerky
243,Cheese
244,Savory Cheese and Jerky Platter
245,Healthy Snack Variety Pack
246,Balanced Healthy Snack Mix
247,Breakfast Flavor Enhancement Essentials
248,Healthy Snack Variety
249,Tea-inspired confection variety enhancement
250,sweet snack
251,Expanded Classic Candy Selection
252,Variety of Breath Fresheners
253,Variety of Breath Freshening Options
254,Enhanced Global Snack Experience
255,Diverse Vegetable Mix Enhancement
256,Versatile Potato Dish Enhancements
257,Morning Energy Routine
258,Beverage Enhancement Focus
259,Healthy Snack Options for Kids
260,Gourmet Popcorn Seasoning Variety
261,Sardines
262,Tea/Coffee
263,Breakfast Beverage Variety
264,Morning Beverage Selection
265,Mint Candy Variety Selection
266,Fruity Lollipop Flavor Experience
267,Salsa Experience Enhancement Kit
268,Salsa and Crunchy Snacks
269,Diet
270,Low-Calorie Beverage Variety
271,Quick Balanced Dinner
272,Sweet Dip Selection
273,health foods
274,Diverse Whole Food Snacks
275,Bake mix
276,Flour
277,Dried Fruit
278,Blueberry-Focused Breakfast Collection
279,Sweet Snack Mix Variety with Crunch
280,pasta
281,Healthy Pasta Meal Kit
282,Unique Coffee Experience
283,Spicy Vegan Meal Kit
284,Balanced Plant-Based Meal with Carbs
285,Global Grilling Spice Variety
286,Diverse Vegan Cooking Staples
287,Decorative Indoor Planting Kit
288,Snack Variety Pack
289,Essential Cookie Baking Ingredients
290,Easter Chocolate Variety Pack
291,Healthy Breakfast Cereal Variety
292,Expanded Flavorful Soup Selection
293,Breakfast Essentials Collection
294,Jelly Bean Party Treats
295,Essential Pancake Ingredients
296,Gluten-Free Snack Assortment
297,Gluten-Free Savory Snack Assortment
298,very high quality.
299,Pure Ginger Experience
300,Ginger Sweets Variety Pack
301,coffee cups
302,Classic Candy Assortment
303,Cozy Warm Beverage Selection
304,Hot Cocoa
305,Sandwich meat
306,Mediterranean Grain Meal Kit
307,Mediterranean Appetizer Platter
308,Flavored Coffee Exploration for Keurig
309,Diverse Flavored Coffee Selection
310,Gluten-Free Gravy Selection
311,snack food
312,Diverse Health Beverage Selection
313,Essential Breakfast Components
314,Breakfast Cereal Selection
315,Cereals (different brands)
316,different flavors of teas
317,Sweet Protein Snack Variety
318,White Tea Tasting Experience
319,Pickle
320,Diverse Chocolate Snack Selection
321,Jarred Goods
322,On-the-Go Healthy Snacks
323,Organic food
324,quick breakfast options
325,SNACKS
326,Spicy Snack Variety Pack
327,Beverage and Hydration Selection
328,Tea
329,Essential Chocolate Baking Ingredients
330,krusteaz bars 
331,Citrus Dessert Variety Pack
332,Essential Baking Ingredients for Chocolate Desserts
333,Diverse Fiber-Rich Snack Options
334,Sweet Low-Calorie Snack Selection
335,Traditional Baking Essentials
336,Flax products
337,Low-Carb Bread Alternatives
338,Healthy Gluten-Free Baking Essentials
339,Oat bran
340,Expanded Coffee Variety
341,Different flavors of cup
342,Gluten-Free Baking Essentials
343,Gluten-Free Baking Flours
344,Oat-Based Baking Essentials Upgrade
345,Healthy Fruit Snack Focus
346,Weight Loss Smoothie Essentials
347,Walnut Snack Enhancement Pack
348,Good sense organic
349,Sweet Tea Snack Pairing
350,Enhanced tea experience
351,Refreshing Tea Variety
352,Diverse Tea Selection
353,Savory Snack Variety Pack
354,Diverse Fruit Snack Mix
355,Savory Snack Pairing Pack
356,making tea
357,Nutritious Baby Food Options
358,Essential Seasoning Herbs Collection
359,Herb-Infused Butter Essentials
360,Herb-Infused Culinary Experience
361,Light Tea Snack Experience
362,Complete Jasmine Tea Experience
363,Indulgent Chocolate Snack Pack
364,Diverse Sweet Snack Selection
365,Gluten-free crackers
366,Essential Ingredients for Baking
367,Snack foods
368,Nutritious Snack Essentials
369,Indulgent Snack Variety Pack
370,Savory Snack Mix Enhancement
371,Toffee and Chocolate Treats
372,Essential Vegan Sushi Ingredients
373,Himalayan salt
374,Specialty Gluten-Free Baking Essentials
375,Comprehensive Gluten-Free Baking Essentials
376,Gluten-Free Baking Essentials with Binding Agent
377,Versatile Gluten-Free Meal Kit
378,Organic
379,snacks
380,Coffee Enhancement Set
381,Dark Chocolate Tasting Set
382,Solid Chocolate Indulgence
383,Classic Cookie Variety Pack
384,CRACKERS
385,Chips and Crackers Selection
386,SNACKS FOOD
387,To drink coffee for breakfast.
388,DRINKS
389,Complete Tuna Salad Kit
390,No-Salt Seasoning and Condiments
391,Low-Sodium Cooking Essentials
392,Savory Snack Variety Enhancement
393,Vegetable-Based Cooking Enhancers
394,Essential Vegetarian Cooking Ingredients
395,Complete Gluten-Free Meal Essentials
396,Balanced gluten-free meal solution
397,Christmas Candy Assortment
398,Protein-Packed Snack Variety
399,Diverse Christmas Treats Collection
400,Variety of Health-Conscious Gum
401,Coffee products
402,Sweet Beverages and Desserts
403,Cake toppings
404,Different food for drinking
405,Diverse Culinary Spice Collection
406,All products for snacking.
407,Chocolate and Nut Pairing
408,Nutritious Purees for Infants
409,Complete Indian Curry Meal
410,Focused Curry Meal Preparation
411,Savory Snack Pairing Set with Dip
412,Indulgent Sweet Snack Variety
413,Complete Pizza Making Kit
414,Diverse Black Tea Selection
415,Expanded Candy Variety Pack
416,Essential Sushi Making Ingredients
417,Chocolate Cookie Experience
418,Diverse Healthy Snack Options
419,Diverse Beverage Selection
420,Coffee and Tea Variety Pack
421,Complete Hot Cocoa Experience
